config_id,design_label,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,edge_ai_enabled,edge_ai_threshold,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,security_coverage,security_overhead_bytes_per_packet,edge_ai_saving_ratio,edge_event_recall,edge_ai_cpu_energy_j,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
sweep_070,Automatic sweep 070,42069,35,aloha,2,55.0,0.45,False,True,2.5,0.8137399979397439,0.01734798279653959,0.00014752446231541306,9093,0.7744791666666666,1766991.2389733049,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,165,False,41,3,75
sweep_071,Automatic sweep 071,42069,35,aloha,2,55.0,0.45,True,False,2.5,0.8137399979397439,0.01872746682289128,0.0003638469522592427,22461,0.4429315476190476,716439.7855388676,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,165,False,6,12,68
sweep_072,Automatic sweep 072,42069,35,aloha,2,55.0,0.45,True,True,2.5,0.8137399979397439,0.018315783292270647,0.0001794302185047261,11042,0.7261408730158729,1452790.029560803,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,165,False,74,4,20
sweep_073,Automatic sweep 073,42069,35,aloha,4,30.0,0.0,False,False,2.5,0.637,0.04415772177473954,0.0002848836061897286,94096,-0.16686507936507944,459210.5566996459,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,420,False,0,156,219
sweep_074,Automatic sweep 074,42069,35,aloha,4,30.0,0.0,False,True,2.5,0.637,0.04271173891471734,0.00014033135537115942,46258,0.42636408730158726,932233.2777801568,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,420,False,3,50,203
sweep_075,Automatic sweep 075,42069,35,aloha,4,30.0,0.0,True,False,2.5,0.637,0.04617402230519884,0.00034806720490393955,114260,-0.41691468253968256,375851.4377391355,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,420,False,0,93,216
sweep_076,Automatic sweep 076,42069,35,aloha,4,30.0,0.0,True,True,2.5,0.637,0.0446460324700018,0.0001713924124990655,56170,0.3034474206349206,763286.7609801644,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,420,False,3,40,163
sweep_077,Automatic sweep 077,42069,35,aloha,4,30.0,0.35,False,False,2.5,0.6651438181818182,0.03735372177473954,0.0002728269950478353,49736,0.38323412698412695,868784.7141549356,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,222,False,2,129,212
sweep_078,Automatic sweep 078,42069,35,aloha,4,30.0,0.35,False,True,2.5,0.6651438181818182,0.03618447120271734,0.0001346337310789936,24450,0.6968005952380952,1760538.915521195,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,222,False,8,33,180
sweep_079,Automatic sweep 079,42069,35,aloha,4,30.0,0.35,True,False,2.5,0.6651438181818182,0.03937002230519884,0.0003333364990413322,60394,0.2510664682539683,711077.0155325632,1.0,12.0,0.0,1.0,0.0,4,0.9998043804234007,222,False,2,79,194
sweep_080,Automatic sweep 080,42069,35,aloha,4,30.0,0.35,True,True,2.5,0.6651438181818182,0.0381187647580018,0.00016438020324219667,29690,0.6318204365079365,1441949.323770748,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,4,0.9998043804234007,222,False,11,29,114
sweep_081,Automatic sweep 081,42069,35,aloha,4,30.0,0.45,False,False,2.5,0.6731849090909091,0.03540972177473954,0.00026956851244707314,36966,0.541592261904762,1168908.6334255768,0.0,0.0,0.0,1.0,0.0,4,0.9998043804234007,165,False,4,99,205
