config_id,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
cfg_177,2027,20,aloha,4,55.0,0.0,False,0.8385714285714262,0.015252800601079686,0.00029009579074389634,26905,-0.16775173611111116,342560.48547672003,2,0.9989182293741451,240,False,50,20,80
cfg_178,2027,20,aloha,4,55.0,0.0,True,0.8385714285714262,0.016261632300628485,0.00035307777896081873,32671,-0.4180121527777778,281454.5712971924,2,0.9989182293741451,240,False,12,38,130
cfg_179,2027,20,aloha,4,55.0,0.35,False,0.8580114285714262,0.013308800601079687,0.0002835185148865431,14237,0.38207465277777775,647368.8179919331,2,0.9989182293741451,127,True,84,0,14
cfg_180,2027,20,aloha,4,55.0,0.35,True,0.8580114285714262,0.014317632300628484,0.0003450899741804955,17289,0.24960937500000002,531864.3240702512,2,0.9989182293741451,127,False,20,8,90
cfg_181,2027,20,csma,0,25.0,0.0,False,0.7555685811246556,0.029286857142857142,0.00016110781078113278,46080,0.0,684586.4002804066,4,0.9998830703536867,240,False,70,2,116
cfg_182,2027,20,csma,0,25.0,0.0,True,0.7555685811246556,0.03130285714285714,0.00020297297139026783,57600,-0.25,543383.7593462007,4,0.9998830703536867,240,False,42,14,178
cfg_183,2027,20,csma,0,25.0,0.35,False,0.7608635038667618,0.027342857142857144,0.000159986645937635,24384,0.4708333333333333,1293706.5832070676,4,0.9998830703536867,127,True,104,0,16
cfg_184,2027,20,csma,0,25.0,0.35,True,0.7608635038667618,0.029358857142857145,0.00020156046284335323,30480,0.33854166666666663,1026866.9467959699,4,0.9998830703536867,127,False,66,6,122
cfg_185,2027,20,csma,0,40.0,0.0,False,0.8536175695365587,0.021965142857142857,0.00021221681285022055,34560,0.0,460018.84237178357,3,0.9995594479432075,240,False,112,2,64
cfg_186,2027,20,csma,0,40.0,0.0,True,0.8536175695365587,0.023477142857142856,0.0002663253523746309,43200,-0.25,366558.16544969357,3,0.9995594479432075,240,False,38,36,114
cfg_187,2027,20,csma,0,40.0,0.35,False,0.859599606369367,0.02050714285714286,0.0002107399755161819,18288,0.4708333333333333,869326.9462143941,3,0.9995594479432075,127,True,144,0,10
cfg_188,2027,20,csma,0,40.0,0.35,True,0.859599606369367,0.02201914285714286,0.0002644719684786742,22860,0.33854166666666663,692708.3441569012,3,0.9995594479432075,127,False,68,14,76
cfg_189,2027,20,csma,0,55.0,0.0,False,0.9515094533449496,0.014643428571428571,0.00021893634295242046,23040,0.0,400025.6016385048,2,0.9989182293741451,240,False,180,2,28
cfg_190,2027,20,csma,0,55.0,0.0,True,0.9515094533449496,0.01565142857142857,0.0002743010057151581,28800,-0.25,319284.8020434227,2,0.9989182293741451,240,False,76,14,46
cfg_191,2027,20,csma,0,55.0,0.35,False,0.9581775033005816,0.013671428571428572,0.00021741274375824054,12192,0.4708333333333333,755953.8928601666,2,0.9989182293741451,127,True,218,0,2
cfg_192,2027,20,csma,0,55.0,0.35,True,0.9581775033005816,0.014679428571428572,0.00027239211847590616,15240,0.33854166666666663,603372.854255287,2,0.9989182293741451,127,False,114,6,32
cfg_193,2027,20,csma,2,25.0,0.0,False,0.7559220779172439,0.029291317391290216,0.00018788868916841227,53765,-0.16677517361111116,586733.7733641055,4,0.9998830703536867,240,False,56,6,146
cfg_194,2027,20,csma,2,25.0,0.0,True,0.7559220779172439,0.031307497016227974,0.00022995311630391357,65287,-0.416818576388889,479404.8514764219,4,0.9998830703536867,240,False,28,32,200
cfg_195,2027,20,csma,2,25.0,0.35,False,0.76121947791721,0.027347317391290215,0.0001865834762486201,28451,0.38257378472222225,1108774.430597207,4,0.9998830703536867,127,True,98,0,18
cfg_196,2027,20,csma,2,25.0,0.35,True,0.76121947791721,0.02936349701622798,0.00022835480571236442,34548,0.25026041666666665,905954.1663291986,4,0.9998830703536867,127,False,52,14,140
cfg_197,2027,20,csma,2,40.0,0.0,False,0.8547467530274977,0.021977747064732395,0.0002473511882334093,40335,-0.16710069444444442,394155.22975998116,3,0.9995594479432075,240,False,68,16,92
cfg_198,2027,20,csma,2,40.0,0.0,True,0.8547467530274977,0.023490254804289023,0.0003015536316307106,48979,-0.41721643518518525,323308.2085674832,3,0.9995594479432075,240,False,18,52,150
cfg_199,2027,20,csma,2,40.0,0.35,False,0.8607367030259612,0.020519747064732398,0.0002456305666427604,21344,0.3824074074074074,744858.095594492,3,0.9995594479432075,127,False,104,4,58
cfg_200,2027,20,csma,2,40.0,0.35,True,0.8607367030259612,0.022032254804289025,0.00029945446489357323,25918,0.2500578703703704,610977.4190688619,3,0.9995594479432075,127,False,44,20,98
